,local_timestamp,side,price,amount
40453,1722472672803717,sell,0.0110834,36193
40454,1722472672803722,sell,0.0110831,18677
40455,1722472672803723,sell,0.0110829,188465
40456,1722472672803735,sell,0.0110827,25786
40457,1722472672803744,sell,0.0110826,36193
40458,1722472672803745,sell,0.0110826,25786
40459,1722472672803747,sell,0.0110825,15259
40460,1722472672803769,sell,0.0110825,25786
40461,1722472672803770,sell,0.0110824,338009
40462,1722472672803770,sell,0.0110824,25470
40463,1722472672803771,sell,0.0110818,36193
40464,1722472672803773,sell,0.0110818,15259
40465,1722472672803780,sell,0.0110818,90216
40466,1722472672803781,sell,0.0110818,90216
40467,1722472672803782,sell,0.0110817,58997
40468,1722472672803784,sell,0.0110817,67860
40469,1722472672803787,sell,0.0110816,27999
40470,1722472672803790,sell,0.0110816,69138
40471,1722472672803792,sell,0.0110816,23438
40472,1722472672803797,sell,0.0110816,18540
40473,1722472672803799,sell,0.0110816,79261
40474,1722472672803800,sell,0.0110816,117312
40475,1722472672803804,sell,0.0110815,2662
40476,1722472672803806,sell,0.0110814,461
40477,1722472672803809,sell,0.0110814,37341
40478,1722472672803818,sell,0.0110813,909
40479,1722472672803820,sell,0.0110812,13797
40480,1722472672803820,sell,0.0110812,89695
40481,1722472672803821,sell,0.0110811,65059
40482,1722472672803824,sell,0.0110809,14715
40483,1722472672803827,sell,0.0110808,55000
40484,1722472672803866,sell,0.0110808,180000
40485,1722472672803868,sell,0.0110806,6914
40486,1722472673606285,sell,0.0110812,621
40487,1722472673606286,sell,0.0110812,180
40488,1722472673948227,buy,0.0110813,3730
40489,1722472673948230,buy,0.0110813,1490
40490,1722472674152511,sell,0.0110827,3485
40491,1722472674152515,sell,0.0110827,10916
40492,1722472674709182,sell,0.0110826,16620
40493,1722472674709185,sell,0.0110826,7199
40494,1722472674709187,sell,0.0110826,1489
40495,1722472674709188,sell,0.0110817,28619
40496,1722472674709190,sell,0.0110816,909
40497,1722472674709192,sell,0.0110816,766
40498,1722472674709197,sell,0.0110816,123456
40499,1722472675090964,buy,0.0110832,1000
40500,1722472675799423,buy,0.0110835,1000
40501,1722472676280615,sell,0.0110834,13480
40502,1722472676280622,sell,0.0110834,1489
40503,1722472676280623,sell,0.0110834,634
40504,1722472676280623,sell,0.0110831,82397
40505,1722472676280624,sell,0.0110831,2707
40506,1722472676280624,sell,0.0110831,19610
40507,1722472676280624,sell,0.0110831,13752
40508,1722472676280625,sell,0.0110819,131893
40509,1722472676280636,sell,0.0110818,1489
40510,1722472676280636,sell,0.0110817,22560
40511,1722472676280637,sell,0.0110816,509836
40512,1722472676280637,sell,0.0110814,909
40513,1722472676280638,sell,0.0110812,37345
40514,1722472676280641,sell,0.0110807,1489
40515,1722472676280653,sell,0.0110807,28584
40516,1722472676280660,sell,0.0110806,28584
40517,1722472676280661,sell,0.0110805,7646
40518,1722472676845478,sell,0.0110818,1256
40519,1722472677692783,sell,0.0110818,757
40520,1722472677693939,sell,0.0110812,909
40521,1722472677693942,sell,0.0110811,71974
40522,1722472677693953,sell,0.0110807,1489
40523,1722472677768982,sell,0.0110804,474
40524,1722472677791139,sell,0.0110801,453
40525,1722472677791140,sell,0.0110801,7475
40526,1722472677797220,sell,0.0110798,53046
40527,1722472677836733,buy,0.0110778,42270
40528,1722472677836733,buy,0.0110778,60168
40529,1722472677860047,buy,0.0110778,60168
40530,1722472677905829,buy,0.011078,11498
40531,1722472677909085,buy,0.011078,48670
40532,1722472679415214,buy,0.0110786,2212
40533,1722472679415218,buy,0.0110787,33902
40534,1722472679897642,sell,0.0110793,405
40535,1722472680275986,sell,0.0110793,542
40536,1722472680379108,buy,0.0110794,1512
40537,1722472681374519,buy,0.0110794,4677
40538,1722472681374523,buy,0.0110794,1389
40539,1722472681374544,buy,0.0110794,3916
40540,1722472681374546,buy,0.0110794,1490
40541,1722472683326993,sell,0.011081,2329
40542,1722472683326995,sell,0.011081,3789
40543,1722472683326995,sell,0.011081,14297
40544,1722472683326996,sell,0.011081,15476
40545,1722472683327001,sell,0.011081,9370
40546,1722472683327001,sell,0.011081,10261
40547,1722472683327004,sell,0.011081,1490
40548,1722472684740936,sell,0.0110799,6723
40549,1722472684740937,sell,0.0110799,1490
40550,1722472684746373,sell,0.0110798,35987
40551,1722472684746379,sell,0.0110798,474
40552,1722472686559376,buy,0.0110794,1895
40553,1722472687642792,sell,0.011081,2000
40554,1722472687651699,buy,0.0110811,1520
40555,1722472687651701,buy,0.0110811,5836
40556,1722472687651701,buy,0.0110811,474
40557,1722472687651702,buy,0.0110811,1303
40558,1722472687651703,buy,0.0110811,43803
40559,1722472687651723,buy,0.0110811,60168
40560,1722472687651725,buy,0.0110811,2008
40561,1722472687651726,buy,0.0110811,16620
40562,1722472687651727,buy,0.0110811,29941
40563,1722472687651727,buy,0.0110811,79261
40564,1722472687651728,buy,0.0110811,1490
40565,1722472687651728,buy,0.0110811,10245
40566,1722472688298064,buy,0.0110813,4512
40567,1722472688298065,buy,0.0110813,1490
40568,1722472689044759,buy,0.0110823,453
40569,1722472689625436,sell,0.0110834,6912
40570,1722472689625472,sell,0.0110834,79261
40571,1722472689625474,sell,0.0110834,60168
40572,1722472689625475,sell,0.0110834,16620
40573,1722472689625476,sell,0.0110834,14833
40574,1722472690009497,sell,0.0110834,20112
40575,1722472690009501,sell,0.0110834,3097
40576,1722472690009504,sell,0.0110834,1616
40577,1722472691462821,buy,0.0110835,17672
40578,1722472691462822,buy,0.0110835,5868
40579,1722472691462826,buy,0.0110835,1489
40580,1722472691462829,buy,0.0110838,7639
40581,1722472691462832,buy,0.0110839,47947
40582,1722472691462873,buy,0.0110839,142066
40583,1722472691463662,buy,0.0110839,21572
40584,1722472691980657,sell,0.0110845,31887
40585,1722472691980663,sell,0.0110845,15164
40586,1722472691980664,sell,0.0110845,1489
40587,1722472691980668,sell,0.0110844,6003
40588,1722472691983072,sell,0.011084,31887
40589,1722472692411494,sell,0.0110839,66279
40590,1722472692411497,sell,0.0110839,7934
40591,1722472692411501,sell,0.0110839,1489
40592,1722472692428026,sell,0.0110835,31887
40593,1722472692428026,sell,0.0110834,22556
40594,1722472692428027,sell,0.0110834,71429
40595,1722472692428027,sell,0.0110834,3721
40596,1722472692469086,sell,0.0110829,31887
40597,1722472692469092,sell,0.0110829,15164
40598,1722472692469097,sell,0.0110829,4503
40599,1722472692473315,sell,0.0110826,13061
40600,1722472692542617,buy,0.0110816,59525
40601,1722472692558160,buy,0.0110816,97911
40602,1722472692558160,buy,0.0110816,60168
40603,1722472692558161,buy,0.0110816,1489
40604,1722472692558161,buy,0.0110816,3731
40605,1722472692856111,buy,0.0110824,34352
40606,1722472692864047,buy,0.0110816,28580
40607,1722472692864048,buy,0.0110816,41998
40608,1722472692864050,buy,0.0110816,27120
40609,1722472692864051,buy,0.0110824,25816
40610,1722472692864055,buy,0.0110824,29518
40611,1722472692864056,buy,0.0110824,35225
40612,1722472692864057,buy,0.0110824,79261
40613,1722472692864059,buy,0.0110824,16620
40614,1722472692864060,buy,0.0110824,27866
40615,1722472693350953,sell,0.0110822,2000
40616,1722472693838559,sell,0.0110822,9345
40617,1722472693838560,sell,0.0110822,41998
40618,1722472693838563,sell,0.0110822,1489
40619,1722472693844764,sell,0.0110821,9022
40620,1722472693977449,sell,0.0110815,909
40621,1722472693977451,sell,0.0110815,1091
40622,1722472695266487,buy,0.0110816,731
40623,1722472695266493,buy,0.0110816,769
40624,1722472695266494,buy,0.0110816,1489
40625,1722472695266495,buy,0.0110816,1994
40626,1722472696226809,sell,0.0110822,12856
40627,1722472696308782,sell,0.0110822,36167
40628,1722472696311551,sell,0.0110822,1000
40629,1722472696412385,sell,0.0110822,10145
40630,1722472696412390,sell,0.0110822,5486
40631,1722472696674281,sell,0.0110822,1188
40632,1722472696740918,sell,0.0110822,9803
40633,1722472696740927,sell,0.0110822,334674
40634,1722472696740931,sell,0.0110822,9637
40635,1722472696740932,sell,0.0110822,1489
40636,1722472696740935,sell,0.0110822,6852
40637,1722472696740936,sell,0.0110822,474
40638,1722472696826029,buy,0.0110818,1277
40639,1722472697974900,buy,0.0110818,757
40640,1722472697974902,buy,0.0110818,47035
40641,1722472697974913,buy,0.0110818,31469
40642,1722472697983778,buy,0.0110818,56933
40643,1722472698005996,buy,0.0110823,1347
40644,1722472698005998,buy,0.0110823,15073
40645,1722472698005999,buy,0.0110823,9139
40646,1722472698005999,buy,0.0110823,971
40647,1722472698010967,buy,0.0110828,25183
40648,1722472698156789,buy,0.0110846,4206
40649,1722472698156791,buy,0.0110846,4970
40650,1722472698156792,buy,0.0110846,1489
40651,1722472698156796,buy,0.0110848,712
40652,1722472698156800,buy,0.0110853,1489
40653,1722472698156801,buy,0.0110853,57423
40654,1722472698156805,buy,0.0110855,453
40655,1722472698283920,sell,0.0110856,1364
40656,1722472698504109,sell,0.0110856,8745
40657,1722472698504118,sell,0.0110856,3783
40658,1722472698504119,sell,0.0110856,66232
40659,1722472698504119,sell,0.0110856,1489
40660,1722472698504128,sell,0.0110856,22804
40661,1722472698511023,sell,0.011085,10109
40662,1722472698511026,sell,0.011085,1489
40663,1722472699370096,sell,0.0110845,9354
40664,1722472699370100,sell,0.0110845,1489
40665,1722472699370103,sell,0.0110845,4219
40666,1722472699370106,sell,0.0110844,10109
40667,1722472699370109,sell,0.0110844,179228
40668,1722472699949471,buy,0.0110839,1000
40669,1722472700013365,buy,0.0110839,1000
40670,1722472700074337,buy,0.0110839,35357
40671,1722472700077448,buy,0.0110839,16141
40672,1722472700077453,buy,0.0110839,9699
40673,1722472700082986,buy,0.0110845,4503
40674,1722472700170965,buy,0.0110857,453
40675,1722472700170967,buy,0.0110857,16620
40676,1722472700173192,buy,0.0110859,6282
40677,1722472700173193,buy,0.0110861,1184
40678,1722472700173193,buy,0.0110862,27728
40679,1722472700173195,buy,0.0110864,453
40680,1722472702444121,sell,0.011086,474
40681,1722472702444123,sell,0.011086,474
40682,1722472702444124,sell,0.011086,3011
40683,1722472702444136,sell,0.011086,7291
40684,1722472702444137,sell,0.011086,16620
40685,1722472702444138,sell,0.011086,89683
40686,1722472702444162,sell,0.011086,38809
40687,1722472702444192,sell,0.011086,20122
40688,1722472702444194,sell,0.011086,60168
40689,1722472702444194,sell,0.011086,9616
40690,1722472702444195,sell,0.011086,2624
40691,1722472702444196,sell,0.011086,1489
40692,1722472702444199,sell,0.011086,172338
40693,1722472702444206,sell,0.011086,3396
40694,1722472702444207,sell,0.011086,45315
40695,1722472702444208,sell,0.011086,4603
40696,1722472702444209,sell,0.011086,2342
40697,1722472702444213,sell,0.011086,5313
40698,1722472702444216,sell,0.0110858,66231
40699,1722472702444216,sell,0.011085,37334
40700,1722472702444220,sell,0.0110847,16451
